sim;exp;nam;met;siz;snp;pre;typ;cov;std;err;los;nfe;nla;wti;wsp;wsa;nod;mem;que;tim;tto
europe;1;loss;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;1;None;64;1g;normal;08:00:00;12:59:36
europe;2;loss;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;10;None;64;1g;normal;08:00:00;13:25:02
europe;3;loss;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;100;None;64;1g;normal;08:00:00;13:04:50
europe;4;loss;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;1000;None;64;1g;normal;08:00:00;14:07:47
europe;5;reference;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;1g;normal;08:00:00;14:04:30
europe;6;loss;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;100000;None;64;1g;normal;08:00:00;16:55:45
europe;7;loss;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;1000000;None;64;1g;normal;08:00:00;07:55:06
europe;8;loss;5;1500;1;sNNt;gt;0;0;0;mse;None;None;1;1;None;64;1g;normal;08:00:00;12:17:02
europe;9;loss;5;1500;1;sNNt;gt;0;0;0;mse;None;Norm1;1;10000;None;64;1g;normal;08:00:00;08:28:27
europe;10;loss;5;1500;1;sNNt;gt;0;0;0;edl;None;None;1;1;None;64;1g;normal;08:00:00;12:47:35
europe;11;loss;5;1500;1;sNNt;gt;0;0;0;edl;None;Norm1;1;10000;None;64;1g;normal;08:00:00;09:00:21
europe;12;downsample;12;15000;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;15g;normal;1-00:00:00;0
europe;13;downsample;13;10000;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;20g;normal;1-00:00:00;0
europe;14;downsample;14;5000;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;20g;normal;1-00:00:00;0
europe;15;downsample;15;1000;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;1g;normal;08:00:00;08:08:19
europe;16;downsample;16;500;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;1g;normal;08:00:00;03:56:27
europe;17;downsample;17;250;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;1g;normal;08:00:00;01:39:33
europe;18;sampling;18;real;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;1g;normal;08:00:00;20:56:08
europe;19;snp_density;5;1500;0.75;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;1g;normal;08:00:00;17:16:21
europe;20;snp_density;5;1500;0.5;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;1g;normal;08:00:00;08:56:46
europe;21;snp_density;5;1500;0.25;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;1g;normal;08:00:00;07:05:55
europe;22;snp_density;5;1500;0.1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;64;1g;normal;08:00:00;08:54:16
europe;23;prediction;5;1500;1;space;gt;0;0;0;hd;None;None;1;1;None;64;1g;normal;08:00:00;05:39:22
europe;24;prediction;5;1500;1;time;gt;0;0;0;mse;None;None;1;1;None;64;1g;normal;08:00:00;13:41:13
europe;25;n_nodes;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;128;1g;normal;08:00:00;16:48:23
europe;26;n_nodes;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;256;1g;normal;08:00:00;1-01:29:33
europe;27;n_nodes;5;1500;1;sNNt;gt;0;0;0;hdtd;None;None;1;10000;None;512;1g;normal;1-00:00:00;0
europe;28;gl;5;1500;1;sNNt;gl;1;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;14:02:08
europe;29;gl;5;1500;1;sNNt;gl;5;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;16:52:32
europe;30;gl;5;1500;1;sNNt;gl;15;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;17:26:45
europe;31;gl;5;1500;1;sNNt;gl;30;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;17:44:34
europe;32;gl;5;1500;1;sNNt;gl;30;1;0.05;hdtd;Norm1;None;1;10000;None;64;8g;normal;1-00:00:00;06:06:12
europe;33;gl_mix;5;1500;1;sNNt;gl_mix;1;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;12:32:48
europe;34;gl_mix;5;1500;1;sNNt;gl_mix;5;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;13:14:45
europe;35;gl_mix;5;1500;1;sNNt;gl_mix;15;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;13:53:07
europe;36;gl_mix;5;1500;1;sNNt;gl_mix;30;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;13:42:01
europe;37;gl_mix;5;1500;1;sNNt;gl_mix;30;1;0.05;hdtd;Norm1;None;1;10000;None;64;8g;normal;1-00:00:00;05:55:47
europe;38;gp;5;1500;1;sNNt;gp;1;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;13:59:28
europe;39;gp;5;1500;1;sNNt;gp;5;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;15:05:41
europe;40;gp;5;1500;1;sNNt;gp;15;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;14:41:58
europe;41;gp;5;1500;1;sNNt;gp;30;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;14:58:09
europe;42;gp;5;1500;1;sNNt;gp;30;1;0.05;hdtd;Norm1;None;1;10000;None;64;8g;normal;1-00:00:00;06:07:45
europe;43;gp_mix;5;1500;1;sNNt;gp_mix;1;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;11:36:45
europe;44;gp_mix;5;1500;1;sNNt;gp_mix;5;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;12:04:24
europe;45;gp_mix;5;1500;1;sNNt;gp_mix;15;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;12:45:30
europe;46;gp_mix;5;1500;1;sNNt;gp_mix;30;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;13:18:23
europe;47;gp_mix;5;1500;1;sNNt;gp_mix;30;1;0.05;hdtd;Norm1;None;1;10000;None;64;8g;normal;1-00:00:00;05:31:41
europe;48;gl_gt;5;1500;1;sNNt;gl_gt;1;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;11:17:18
europe;49;gl_gt;5;1500;1;sNNt;gl_gt;5;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;11:36:50
europe;50;gl_gt;5;1500;1;sNNt;gl_gt;15;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;11:26:34
europe;51;gl_gt;5;1500;1;sNNt;gl_gt;30;1;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;11:02:36
europe;52;cov_loss;5;1500;1;sNNt;gp;1;1;0.05;hdtd;None;None;1;10000;coverage;64;8g;normal;1-00:00:00;0
europe;53;cov_loss;5;1500;1;sNNt;gp;1;5;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;13:59:47
europe;54;cov_loss;5;1500;1;sNNt;gp;1;5;0.05;hdtd;None;None;1;10000;coverage;64;8g;normal;1-00:00:00;0
europe;55;cov_loss;5;1500;1;sNNt;gp;1;10;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;0
europe;56;cov_loss;5;1500;1;sNNt;gp;1;10;0.05;hdtd;None;None;1;10000;coverage;64;8g;normal;1-00:00:00;0
europe;57;cov_loss;5;1500;1;sNNt;gp;5;1;0.05;hdtd;None;None;1;10000;coverage;64;8g;normal;1-00:00:00;0
europe;58;cov_loss;5;1500;1;sNNt;gp;5;5;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;13:59:47
europe;59;cov_loss;5;1500;1;sNNt;gp;5;5;0.05;hdtd;None;None;1;10000;coverage;64;8g;normal;1-00:00:00;0
europe;60;cov_loss;5;1500;1;sNNt;gp;5;10;0.05;hdtd;None;None;1;10000;None;64;8g;normal;1-00:00:00;0
europe;61;cov_loss;5;1500;1;sNNt;gp;5;10;0.05;hdtd;None;None;1;10000;coverage;64;8g;normal;1-00:00:00;0